case,number,f_73,f_59,f_25,f_120,f_55,f_178,f_179,f_81,f_17,f_47
Case002-1,210991,0.7836441397666931,0.7676935195922852,0.768712043762207,0.8106356859207153,0.7948313355445862,0.8097978830337524,0.8595336079597473,0.80426025390625,0.820136308670044,0.7472602128982544
Case002-1,211002,0.8411731123924255,0.7876061201095581,0.7786132097244263,0.8538990020751953,0.8340643048286438,0.8355371952056885,0.7216778993606567,0.7933998703956604,0.8234080672264099,0.842564582824707
Case002-1,211309,0.3021003603935241,0.2806923389434814,0.2325832247734069,0.3227409720420837,0.2853478491306305,0.4450184106826782,0.4955596625804901,0.4142125844955444,0.323726624250412,0.368607759475708
Case002-1,213658,0.4308390021324157,0.4935126900672912,0.4988067746162414,0.5197399258613586,0.3898454010486603,0.5601978302001953,0.4696146845817566,0.3808481097221374,0.3917093575000763,0.4923492670059204
Case002-1,213672,0.4782918393611908,0.6018708944320679,0.5441768169403076,0.5504671931266785,0.431828111410141,0.5971782803535461,0.4937949180603027,0.4396055340766907,0.4428578019142151,0.5118160843849182
Case002-1,213778,0.4077531397342682,0.464573860168457,0.4056139290332794,0.434789627790451,0.3847629725933075,0.4927283227443695,0.1651909500360489,0.4074160158634186,0.3008081912994385,0.4519059360027313
Case002-1,214263,0.6392259001731873,0.6293495893478394,0.5668139457702637,0.6327238082885742,0.6366353631019592,0.6655242443084717,0.6649014949798584,0.6266351342201233,0.5437641739845276,0.5763079524040222
Case002-1,214653,0.4649508595466614,0.3673072159290313,0.3492775559425354,0.5182842016220093,0.5423629879951477,0.5585774779319763,0.6208180785179138,0.4571256339550018,0.3532334268093109,0.4481310248374939
Case002-1,214664,0.5449294447898865,0.369855135679245,0.4235682189464569,0.600453794002533,0.5572129487991333,0.5761317014694214,0.6904444098472595,0.4887706339359283,0.4237167835235595,0.5081692934036255
Case002-1,214680,0.5083081722259521,0.2604701519012451,0.3237993121147156,0.4984796941280365,0.5030417442321777,0.5504983067512512,0.4805411100387573,0.3576607704162597,0.3391702175140381,0.4900769591331482
Case002-1,215293,0.5031780004501343,0.505204975605011,0.5140405893325806,0.5804584622383118,0.5478546023368835,0.6200367212295532,0.4844599366188049,0.4259619414806366,0.4252647757530212,0.5188852548599243
